m320;#1 Empty;2T;1 T;9,43;1,56;25;107
m321;;;;4,7;0,78;;214
m322;;500 mT;-500 mT;9,4;1,56;;107
;;;;4,7;0,78;;214
m323;;1 T;-1 T;9,4;0,78;;214
m324;;;;4,7;0,39;;407
m325;Crosses;2 T;1 T;9,4;1,56;;107
m326:;;;;4,7;0,78;;214
m327:;;500 mT;-500 mT;9,4;1,56;;107
m328:;;;;4,7;0,78;;214
m329:;;1 T;-1 T;9,4;0,78;;214
m330:;;;;4,7;0,39;;407
m331: ;;500 mT;-500 mT;9,4;1,56;25;107
m332: ;;300;-300;2,8;0,78;25;214
m333:;;750;-750;7;0,78;25;214
m334: ;;0.1;0.1;0.093;0,78;25;214
m335:;#1 Empty;500 mT;-500 mT;9,4;1,56;25;107
m336:;Plusses;500 mT;-500 mT;9,4;1,56;25;107
m337:;;50 mT;-50 mT;0.934;1,56;25;107
m338:;;25 mT;-25mT;0,46;1,56;25;107
m339:;;0;0.5;4,6;1,56;25;107
;#1 Empty;25 mT;-25mT;0,46;1,56;25;107
;Plusses;5mT;-5mT;9.3e-5;;;
